id,name,group,keywords,position,decision_questions,likely_outputs,source_ids
T11,非醫事人員與照顧服務員界線,非醫事人員與照顧服務,非醫事人員、照顧服務員、看護、抽痰、導尿、鼻胃管,生活照顧、清潔、舒適服務可較寬；導尿、抽痰、管路、傷口、造口、腹膜透析導管等涉及護理或醫療專業者，原則嚴格控管。非醫事人員不得執行法定護理或醫療業務。,行為是否涉及醫療專業判斷或侵入性處置？；是否屬日常生活照顧或維持清潔舒適？；執行者是否具護理人員或其他醫事人員資格？,單純量血壓、脈搏、體溫而未涉及診斷時較可能非醫療業務。；導尿、抽痰、管路更換等通常不能由非醫事人員執行。,interp-0504、interp-0626
T12,採血、抽動脈血、X光、採檢等具風險處置,醫療輔助行為與專業邊界,採血、抽動脈血、X光、採檢、咽喉拭子、COVID,具風險處置應先判斷是否屬醫療輔助行為、是否需醫師指示、是否另有特別法規或函釋。模擬器對新增處置應採保守比附，優先標示需查最新函釋。,是否已有該處置的專門函釋或公告？；是否屬醫療輔助行為或其他醫事人員專屬業務？；是否在合法機構、合法資格及醫師指示下執行？,如已列於人員執業網頁新函釋，應以新函釋優先於108年彙編。；無明確函釋時，先依醫療輔助行為及專業資格邊界保守判斷。,interp-0499、interp-0614、interp-0615、interp-0616
T13,公共衛生、預防保健與防疫任務,人員資格與執登,公共衛生、預防保健、防疫、傳染病、衛生教育、預防接種,公共衛生、預防保健與防疫任務可屬護理人員業務範疇，但仍須回到資格、執登、場域認可與實際業務內容判斷。公共衛生性質不排除護理法規適用。,任務是否屬預防保健、衛生教育、傳染病防治或預防接種？；執行者是否具護理人員資格並在合法場域執業？；是否由衛生機關工作計畫或公函指派？,學校護理人員可依衛生機關工作計畫或公函協助公共衛生業務。；公共衛生計畫聘用護理人員時，仍須檢視執業登記場域是否合規。,interp-0006、interp-0109、interp-0110
T14,支援報備,支援、停歇業、繼續教育,支援、報備、事先報准、跨機構、第12條,跨機構支援原則須事前報准。急救、大量傷病或緊急臨時需求才可能作為例外，且例外應限縮解釋，不宜擴張成常態人力調度。,是否屬執業機構間支援？；是否跨縣市或跨不同機構？；是否有急救、大量傷病或緊急情況？,一般支援應事前報准或依規定報備。；緊急例外限於臨時增加護理人力協助處理，不適合常態化。,interp-0082、interp-0626
T15,停業、歇業、復業與執照更新,支援、停歇業、繼續教育,停業、歇業、復業、執照更新、育嬰假、繼續教育,停業、歇業、復業與執照更新皆屬程序性高的執登管理事項。人員暫離執業狀態時，須依停歇業、復業與繼續教育規則處理，不能以實務需求自行跳過。,是否停業超過法定期間或事實上不再執業？；復業時執照有效期間與繼續教育積分是否符合規定？；是否已向原發照機關報備或申請？,復業或更新執照時，須回到執登及繼續教育辦法判斷。；育嬰假、歇業或退休後再投入工作，不能免除執登程序。,interp-0617
T16,繼續教育、在職教育與公假/工時,支援、停歇業、繼續教育,繼續教育、在職教育、公假、工時、訓練進修,近年函釋已將繼續教育與在職教育帶入勞動條件及差勤管理。公務人員可依公務人員請假、訓練進修規定處理；非公務人員則由機構參考並審酌辦理。,人員是否具公務人員身分？；教育訓練是否與職務有關？；機構是否已有費用補助、差勤或工時管理規範？,與職務相關教育訓練可朝公假或工時管理方向評估。；非公務人員仍可要求機構參考友善在職教育環境原則處理。,interp-0617
T17,勞動條件、調動、休息時間與加班費,勞動條件與執業環境,勞動基準法、調動、休息時間、加班費、延長工時、工資,護理人員雖受護理法規管理，但調動、休息、延長工時工資等仍須回到勞動基準法及勞動部函釋。護理法規不能作為降低勞動保障的理由。,是否適用勞動基準法？；調動是否符合勞基法第10條之1及相關原則？；延長工時是否依法給付工資？,職場管理問題應同時檢視護理執業規範與勞動法規。；調動、休息時間與加班費爭議，不宜僅以院內管理命令處理。,interp-0629
T18,護病比與人力配置,勞動條件與執業環境,護病比、三班、人力配置、病人安全、急性一般病床,護病比與人力配置不是單純內部管理，而是病人安全、執業環境與機構管理議題。遇到類似問題時，應優先查最新公告、評鑑與設置標準。,該機構或病床類別是否有明確護病比標準？；人力配置是否影響照護品質或病人安全？；是否涉及主管機關督導考核或評鑑？,若已有護病比公告或標準，應以最新標準作為模擬器判準。；人力不足可能連動機構督導、評鑑或勞動條件議題。,interp-0630
T19,護理機構設置、擴充、開業與復業,機構設置與管理,護理機構、設置、擴充、開業、復業、遷移、負責人,護理機構設置、開業、遷移、復業與負責人變更，重視許可、登記、實地審查與申請主體是否改變。若涉及個人設置者主體變更，較可能被視為新設立。,是登記事項變更，還是申請主體變更？；遷移或復業後設施、人員、消防、建管是否仍合格？；是否已依護理機構設置標準及開業程序審查？,復業或遷移原則準用設立規定，但可視原設施與人員是否重大改變簡化程序。；主體變更通常不能只辦登記事項變更。,interp-0316、interp-0317
T20,護理機構服務對象,機構設置與管理,服務對象、居家護理、護理之家、產後護理、長期照護,居家護理、護理之家、產後護理機構等，須依核准服務對象與照護需求判斷。不能任意擴張服務對象，尤其當個案有管路、造口或高護理需求時，應重視照護品質與人力配置。,該機構類型的法定服務對象為何？；個案照護需求是否超出該機構設置或人力能力？；是否涉及其他主管法規或跨部會權責？,服務對象擴張須有法規依據與照護品質保障。；高護理需求個案不宜僅以機構收住意願判斷。,interp-0144
T21,收費、收據與醫療勞務/生活照顧區分,機構設置與管理,收費、收據、醫療勞務、生活照顧、產後護理、尿布、奶粉,護理評估、護理指導、處置偏醫療勞務；尿布、奶粉、清潔用品及一般飲食偏生活照顧。收費項目須清楚、可判別類別、開立收據，且不得超過主管機關核定標準。,該收費項目屬醫療照護需求衍生，還是一般生活照顧？；是否列入地方主管機關核定收費項目？；收據是否載明服務項目與金額？,未列入核定收費項目的服務，可能構成超收或違規收費。；以商業單位另行收費或推銷，應檢視是否混淆醫療與商業行為。,interp-0311
T22,廣告、名稱與業務包裝,機構設置與管理,廣告、名稱、業務項目、產後護理、飯店、美容,護理機構廣告內容受限，非護理機構不得為護理業務廣告。不得以飯店式、美容式或模糊名稱包裝，使民眾誤認核准業務或醫療護理服務。,廣告內容是否限於法定可刊登事項？；是否宣傳非核准業務或讓民眾誤認服務性質？；是否涉及非護理機構為護理業務廣告？,強調非核准服務或休閒飯店式服務，可能超出護理機構廣告容許範圍。；美容或SPA使用護理字樣需檢視是否造成護理業務誤認。,interp-0164、interp-0335、interp-0614
T23,病歷、紀錄與保密,裁罰、保密與權益保障,紀錄、病歷、保密、個資、陳情、秘密,護理人員執行業務時應製作紀錄；涉及個資、病人資料、陳情內容或業務秘密時，須有保密立場。實習或未取證人員的紀錄亦應由指導護理人員確認。,是否屬護理人員執行業務產生的紀錄？；資料是否涉及個人隱私、病情、陳情或機密？；未具資格者所作紀錄是否經指導護理人員確認？,護理業務紀錄不能省略，且應依醫療法或相關規定保存。；陳情或個案資料需依保密規定處理。,interp-0498、interp-0501
T24,違法執業、證照租借與裁罰,裁罰、保密與權益保障,違法執業、未取得資格、罰鍰、證照租借、裁罰,未具資格執行護理業務、未執登執業、證照租借、機構容留未具資格者，均屬高風險裁罰主題。若涉及刑事責任，應移送檢察機關依法辦理。,行為人是否具護理人員資格並辦理執登？；是否由雇主或機構容留、指派或默許？；是否涉及證照租借或刑事責任？,未具資格或未執登而執行護理業務，原則傾向違法。；雇主或機構可能與本人同受處罰或負督導責任。,interp-0490、interp-0501
T25,感染者權益與不得拒絕服務,裁罰、保密與權益保障,愛滋、感染者、拒絕服務、歧視、長照、感染管制,愛滋、傳染病或其他疾病身分不得作為拒絕照護或差別待遇理由。應以正確感染管制、教育訓練與法定照護義務處理，而不是以感染者身分排除服務。,是否因感染者身分拒絕服務或差別待遇？；是否已有正確感染管制與教育訓練措施？；是否違反長照、感染者權益保障或其他相關法規？,不得因愛滋感染者身分拒絕提供長照或護理相關服務。；主管機關可要求教育訓練並依法查處歧視或拒收情事。,interp-0633
T26,外國人、華僑與境外護理資格,人員資格與執登,外國人、華僑、境外資格、工作證、外籍看護、許可,取得外國護理資格不等於可在我國執業。外國人及華僑須依我國法律考試、取得證書、經中央主管機關許可並辦理執業登記，始得執行護理業務。,是否已依法取得我國護理人員證書？；是否經中央主管機關許可？；是否已辦理執業登記並在合法處所執業？,外國工作證或境外資格本身不足以執行我國護理業務。；外籍看護可做生活照顧，但不能執行法定護理或醫療業務。,interp-0504
T27,護理學生、應屆畢業生與實習護士,人員資格與執登,護理學生、應屆畢業生、實習護士、未取得證書、指導,未取得證書者原則不得獨立執行護理業務；但在護理人員指導下實習之高級護理職業以上學校學生或畢業生，有特定例外。指導不以現場指導為必要，但所為護理業務應經指導護理人員確認。,是否為高級護理職業以上學校學生或畢業生？；是否在護理人員指導下執行業務？；是否獨立執行護理業務或紀錄未經確認？,未取證者不得獨立執行護理業務。；符合第37條但書者可在指導下實習，但紀錄與業務須經確認。,interp-0488、interp-0495、interp-0498、interp-0501
